GO Term ID	Name	Namespace	log(Odds Ratio)	Statistical significance
GO:0010638	Positive regulation of organelle organization	Biological Process	0.403	6.19756e-3
GO:0030674	Protein-macromolecule adaptor activity	Molecular Function	0.492	6.19756e-3
GO:0097553	Calcium ion transmembrane import into cytosol	Biological Process	2.064	1.32095e-2
GO:0043083	Synaptic cleft	Cellular Component	0.332	1.32095e-2
GO:0071375	Cellular response to peptide hormone stimulus	Biological Process	1.123	9.41440e-3
GO:0006006	Glucose metabolic process	Biological Process	1.475	6.19756e-3
GO:0007189	Adenylate cyclase-activating G protein-coupled receptor signaling pathway	Biological Process	1.956	6.19756e-3
GO:0005125	Cytokine activity	Molecular Function	0.489	1.64409e-2
GO:0045197	Establishment or maintenance of epithelial cell apical/basal polarity	Biological Process	0.831	9.41440e-3
GO:0045499	Chemorepellent activity	Molecular Function	1.931	6.19756e-3
GO:0007214	Gamma-aminobutyric acid signaling pathway	Biological Process	1.756	6.19756e-3
GO:0043435	Response to corticotropin-releasing hormone	Biological Process	1.793	9.41440e-3
GO:0032813	Tumor necrosis factor receptor superfamily binding	Molecular Function	1.134	6.19756e-3
GO:0048469	Cell maturation	Biological Process	0.982	9.41440e-3
GO:0009605	Response to external stimulus	Biological Process	0.936	1.32095e-2
GO:0042277	Peptide binding	Molecular Function	0.630	6.19756e-3
GO:0032259	Methylation	Biological Process	0.215	6.19756e-3
GO:0044089	Positive regulation of cellular component biogenesis	Biological Process	0.660	9.41440e-3
GO:0008195	Phosphatidate phosphatase activity	Molecular Function	2.635	6.19756e-3
GO:0001726	Ruffle	Cellular Component	1.853	2.83444e-2
GO:1901880	Negative regulation of protein depolymerization	Biological Process	0.732	4.45706e-2
GO:0009101	Glycoprotein biosynthetic process	Biological Process	0.666	1.96523e-2
GO:0031503	Protein-containing complex localization	Biological Process	0.262	2.83444e-2
GO:0017080	Sodium channel regulator activity	Molecular Function	2.013	9.41440e-3
GO:0048015	Phosphatidylinositol-mediated signaling	Biological Process	1.492	9.41440e-3
GO:0008270	Zinc ion binding	Molecular Function	0.497	6.19756e-3
GO:0099565	Chemical synaptic transmission, postsynaptic	Biological Process	1.899	2.55335e-2
GO:0015695	Organic cation transport	Biological Process	0.545	6.19756e-3
GO:0046328	Regulation of JNK cascade	Biological Process	1.469	1.64409e-2
GO:0000139	Golgi membrane	Cellular Component	0.484	6.19756e-3
GO:0007212	G protein-coupled dopamine receptor signaling pathway	Biological Process	0.809	4.91950e-2
GO:0006633	Fatty acid biosynthetic process	Biological Process	0.458	3.66115e-2
GO:1903540	Establishment of protein localization to postsynaptic membrane	Biological Process	0.626	2.55335e-2
GO:0042577	Lipid phosphatase activity	Molecular Function	2.413	1.32095e-2
GO:0000768	Syncytium formation by plasma membrane fusion	Biological Process	1.650	1.32095e-2
GO:0014033	Neural crest cell differentiation	Biological Process	1.489	6.19756e-3
GO:0030545	Signaling receptor regulator activity	Molecular Function	0.555	6.19756e-3
GO:0045597	Positive regulation of cell differentiation	Biological Process	0.358	6.19756e-3
GO:0071875	Adrenergic receptor signaling pathway	Biological Process	1.391	1.64409e-2
GO:0051260	Protein homooligomerization	Biological Process	1.126	6.19756e-3
GO:0009199	Ribonucleoside triphosphate metabolic process	Biological Process	0.342	1.96523e-2
GO:0060170	Ciliary membrane	Cellular Component	0.525	6.19756e-3
GO:1901701	Cellular response to oxygen-containing compound	Biological Process	0.683	6.19756e-3
GO:0035150	Regulation of tube size	Biological Process	1.756	6.19756e-3
GO:0015718	Monocarboxylic acid transport	Biological Process	1.091	4.70720e-2
GO:0016020	Membrane	Cellular Component	0.505	3.41455e-2
GO:0030166	Proteoglycan biosynthetic process	Biological Process	1.846	1.64409e-2
GO:0031047	Regulatory ncRNA-mediated gene silencing	Biological Process	0.998	6.19756e-3
GO:0071396	Cellular response to lipid	Biological Process	0.800	9.41440e-3
GO:0098857	Membrane microdomain	Cellular Component	0.630	2.25945e-2
GO:0035250	UDP-galactosyltransferase activity	Molecular Function	1.589	6.19756e-3
GO:0097120	Receptor localization to synapse	Biological Process	0.615	9.41440e-3
GO:0045595	Regulation of cell differentiation	Biological Process	0.537	6.19756e-3
GO:0043254	Regulation of protein-containing complex assembly	Biological Process	0.578	6.19756e-3
GO:0097447	Dendritic tree	Cellular Component	1.077	6.19756e-3
GO:0050906	Detection of stimulus involved in sensory perception	Biological Process	1.521	6.19756e-3
GO:0015012	Heparan sulfate proteoglycan biosynthetic process	Biological Process	2.388	2.55335e-2
GO:0051283	Negative regulation of sequestering of calcium ion	Biological Process	1.580	6.19756e-3
GO:1901699	Cellular response to nitrogen compound	Biological Process	0.701	9.41440e-3
GO:0042221	Response to chemical	Biological Process	0.794	6.19756e-3
GO:0009247	Glycolipid biosynthetic process	Biological Process	0.505	3.66115e-2
GO:0008064	Regulation of actin polymerization or depolymerization	Biological Process	0.715	1.32095e-2
GO:0051962	Positive regulation of nervous system development	Biological Process	1.134	6.19756e-3
GO:0050779	RNA destabilization	Biological Process	1.012	2.25945e-2
GO:0032253	Dense core granule localization	Biological Process	0.795	9.41440e-3
GO:0022839	Monoatomic ion-gated channel activity	Molecular Function	2.128	6.19756e-3
GO:0032580	Golgi cisterna membrane	Cellular Component	0.892	6.19756e-3
GO:0043177	Organic acid binding	Molecular Function	0.944	9.41440e-3
GO:0051156	Glucose 6-phosphate metabolic process	Biological Process	2.123	1.32095e-2
GO:0005798	Golgi-associated vesicle	Cellular Component	0.439	6.19756e-3
GO:0070588	Calcium ion transmembrane transport	Biological Process	1.514	9.41440e-3
GO:0016747	Acyltransferase activity, transferring groups other than amino-acyl groups	Molecular Function	0.317	6.19756e-3
GO:0003205	Cardiac chamber development	Biological Process	0.411	6.19756e-3
GO:0010001	Glial cell differentiation	Biological Process	0.341	1.32095e-2
GO:0005923	Bicellular tight junction	Cellular Component	0.719	6.19756e-3
GO:0005042	Netrin receptor activity	Molecular Function	1.837	6.19756e-3
GO:0017124	SH3 domain binding	Molecular Function	0.692	6.19756e-3
GO:1904315	Transmitter-gated monoatomic ion channel activity involved in regulation of postsynaptic membrane potential	Molecular Function	2.600	6.19756e-3
GO:0032453	Histone H3K4 demethylase activity	Molecular Function	1.592	9.41440e-3
GO:0019213	Deacetylase activity	Molecular Function	2.070	6.19756e-3
GO:0001216	DNA-binding transcription activator activity	Molecular Function	0.688	6.19756e-3
GO:0070461	SAGA-type complex	Cellular Component	1.980	1.32095e-2
GO:0090497	Mesenchymal cell migration	Biological Process	1.611	6.19756e-3
GO:0007156	Homophilic cell adhesion via plasma membrane adhesion molecules	Biological Process	0.587	1.96523e-2
GO:0051960	Regulation of nervous system development	Biological Process	0.845	1.64409e-2
GO:0019867	Outer membrane	Cellular Component	0.863	6.19756e-3
GO:0006023	Aminoglycan biosynthetic process	Biological Process	2.582	6.19756e-3
GO:0030212	Hyaluronan metabolic process	Biological Process	1.734	6.19756e-3
GO:0003707	Nuclear steroid receptor activity	Molecular Function	1.238	9.41440e-3
GO:0006979	Response to oxidative stress	Biological Process	0.949	6.19756e-3
GO:0098878	Neurotransmitter receptor complex	Cellular Component	2.630	2.83444e-2
GO:0050877	Nervous system process	Biological Process	1.392	6.19756e-3
GO:0005242	Inward rectifier potassium channel activity	Molecular Function	1.914	9.41440e-3
GO:0035296	Regulation of tube diameter	Biological Process	1.743	6.19756e-3
GO:0048259	Regulation of receptor-mediated endocytosis	Biological Process	0.341	3.92786e-2
GO:0005267	Potassium channel activity	Molecular Function	1.370	2.83444e-2
GO:0048863	Stem cell differentiation	Biological Process	1.105	6.19756e-3
GO:0030312	External encapsulating structure	Cellular Component	0.868	6.19756e-3
GO:0008237	Metallopeptidase activity	Molecular Function	0.899	6.19756e-3
GO:1905144	Response to acetylcholine	Biological Process	2.161	6.19756e-3
GO:0071869	Response to catecholamine	Biological Process	1.200	9.41440e-3
GO:0060089	Molecular transducer activity	Molecular Function	1.415	9.41440e-3
GO:0098978	Glutamatergic synapse	Cellular Component	0.466	4.70720e-2
GO:1901343	Negative regulation of vasculature development	Biological Process	1.519	9.41440e-3
GO:0051606	Detection of stimulus	Biological Process	0.780	6.19756e-3
GO:0072523	Purine-containing compound catabolic process	Biological Process	0.222	9.41440e-3
GO:0007154	Cell communication	Biological Process	1.066	3.41455e-2
GO:0032501	Multicellular organismal process	Biological Process	0.762	1.64409e-2
GO:0007179	Transforming growth factor beta receptor signaling pathway	Biological Process	1.080	6.19756e-3
GO:0005996	Monosaccharide metabolic process	Biological Process	0.648	6.19756e-3
GO:0060491	Regulation of cell projection assembly	Biological Process	0.339	6.19756e-3
GO:0007204	Positive regulation of cytosolic calcium ion concentration	Biological Process	1.292	6.19756e-3
GO:0044331	Cell-cell adhesion mediated by cadherin	Biological Process	2.150	6.19756e-3
GO:0022835	Transmitter-gated channel activity	Molecular Function	2.393	6.19756e-3
GO:0140056	Organelle localization by membrane tethering	Biological Process	1.465	3.66115e-2
GO:0004888	Transmembrane signaling receptor activity	Molecular Function	1.435	6.19756e-3
GO:0042594	Response to starvation	Biological Process	0.767	3.66115e-2
GO:0006650	Glycerophospholipid metabolic process	Biological Process	0.405	6.19756e-3
GO:0001666	Response to hypoxia	Biological Process	1.142	6.19756e-3
GO:0005769	Early endosome	Cellular Component	0.477	6.19756e-3
GO:0006096	Glycolytic process	Biological Process	0.647	6.19756e-3
GO:1905369	Endopeptidase complex	Cellular Component	0.408	6.19756e-3
GO:0007229	Integrin-mediated signaling pathway	Biological Process	1.342	9.41440e-3
GO:0005794	Golgi apparatus	Cellular Component	0.336	2.55335e-2
GO:0090066	Regulation of anatomical structure size	Biological Process	0.970	6.19756e-3
GO:0015812	Gamma-aminobutyric acid transport	Biological Process	2.624	9.41440e-3
GO:0036477	Somatodendritic compartment	Cellular Component	0.856	1.64409e-2
GO:0098926	Postsynaptic signal transduction	Biological Process	1.988	6.19756e-3
GO:0048584	Positive regulation of response to stimulus	Biological Process	0.807	6.19756e-3
GO:0061245	Establishment or maintenance of bipolar cell polarity	Biological Process	0.824	9.41440e-3
GO:0030335	Positive regulation of cell migration	Biological Process	1.125	9.41440e-3
GO:0071867	Response to monoamine	Biological Process	1.196	9.41440e-3
GO:0034765	Regulation of monoatomic ion transmembrane transport	Biological Process	0.696	9.41440e-3
GO:0045664	Regulation of neuron differentiation	Biological Process	0.244	6.19756e-3
GO:0009141	Nucleoside triphosphate metabolic process	Biological Process	0.247	1.64409e-2
GO:0005315	Phosphate transmembrane transporter activity	Molecular Function	1.015	9.41440e-3
GO:0009166	Nucleotide catabolic process	Biological Process	0.269	6.19756e-3
GO:0048609	Multicellular organismal reproductive process	Biological Process	1.799	9.41440e-3
GO:0051302	Regulation of cell division	Biological Process	0.878	6.19756e-3
GO:0009191	Ribonucleoside diphosphate catabolic process	Biological Process	0.663	6.19756e-3
GO:0031593	Polyubiquitin modification-dependent protein binding	Molecular Function	0.512	6.19756e-3
GO:0070482	Response to oxygen levels	Biological Process	1.143	6.19756e-3
GO:0008360	Regulation of cell shape	Biological Process	1.312	6.19756e-3
GO:0008083	Growth factor activity	Molecular Function	0.891	6.19756e-3
GO:0016339	Calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules	Biological Process	2.216	6.19756e-3
GO:0032272	Negative regulation of protein polymerization	Biological Process	0.707	6.19756e-3
GO:0009895	Negative regulation of catabolic process	Biological Process	0.265	6.19756e-3
GO:0043473	Pigmentation	Biological Process	0.752	6.19756e-3
GO:0031114	Regulation of microtubule depolymerization	Biological Process	1.513	6.19756e-3
GO:0001664	G protein-coupled receptor binding	Molecular Function	0.615	6.19756e-3
GO:0030837	Negative regulation of actin filament polymerization	Biological Process	0.713	6.19756e-3
GO:0005540	Hyaluronic acid binding	Molecular Function	1.510	6.19756e-3
GO:0043296	Apical junction complex	Cellular Component	0.497	6.19756e-3
GO:0160215	Deacylase activity	Molecular Function	1.531	6.19756e-3
GO:0030660	Golgi-associated vesicle membrane	Cellular Component	0.743	6.19756e-3
GO:0097237	Cellular response to toxic substance	Biological Process	0.988	1.64409e-2
GO:0095500	Acetylcholine receptor signaling pathway	Biological Process	2.162	6.19756e-3
GO:0010976	Positive regulation of neuron projection development	Biological Process	1.058	3.66115e-2
GO:0031012	Extracellular matrix	Cellular Component	0.869	6.19756e-3
GO:0008081	Phosphoric diester hydrolase activity	Molecular Function	0.443	6.19756e-3
GO:0098797	Plasma membrane protein complex	Cellular Component	1.117	2.25945e-2
GO:0009566	Fertilization	Biological Process	1.443	4.91950e-2
GO:0005161	Platelet-derived growth factor receptor binding	Molecular Function	1.046	6.19756e-3
GO:0031968	Organelle outer membrane	Cellular Component	0.864	6.19756e-3
GO:0014902	Myotube differentiation	Biological Process	1.518	6.19756e-3
GO:0030835	Negative regulation of actin filament depolymerization	Biological Process	0.644	1.96523e-2
GO:0022604	Regulation of cell morphogenesis	Biological Process	1.320	6.19756e-3
GO:0043244	Regulation of protein-containing complex disassembly	Biological Process	0.776	6.19756e-3
GO:1903351	Cellular response to dopamine	Biological Process	1.223	6.19756e-3
GO:0050921	Positive regulation of chemotaxis	Biological Process	1.786	6.19756e-3
GO:0048278	Vesicle docking	Biological Process	1.985	2.83444e-2
GO:0043269	Regulation of monoatomic ion transport	Biological Process	0.854	6.19756e-3
